"Symbol","total","SuccessQtrs","SuccessMacd","SuccessMacdLastYear","LastYearReturn","FailureMonthsPercentile"
"ABB",22,12,0.617021276595745,0.60377358490566,"-0.0449398227567208","-11"
"ACC",22,13,0.506382978723404,0.415094339622642,"-0.128945622257022","-11"
"AUBANK",8,5,0.615384615384615,0.433962264150943,"-0.0614769577965558","-11"
"ADANIPORTS",22,13,0.617021276595745,0.339622641509434,"-0.0299011189275784","-11"
"ADANIPOWER",22,12,0.45531914893617,0.849056603773585,"0.196009469296219","-11"
"ABCAPITAL",8,1,0,0,"-0.463519296036029","-11"
"ABFRL",22,12,0.591489361702128,0.886792452830189,"0.191176470588235","-11"
"AJANTPHARM",22,12,0.434042553191489,0,"-0.206225974225941","-11"
"ALKEM",15,6,0.540880503144654,0.207547169811321,"-0.124328940943021","-11"
"AMARAJABAT",22,13,0.438297872340426,0.113207547169811,"-0.109772945871801","-11"
"AMBUJACEM",22,13,0.497872340425532,0.283018867924528,"-0.160231240152117","-11"
"APOLLOHOSP",22,10,0.574468085106383,0.830188679245283,"0.0463598168295447","-11"
"APOLLOTYRE",22,14,0.527659574468085,0.169811320754717,"-0.122373101230282","-11"
"ASHOKLEY",22,12,0.642553191489362,0.0566037735849057,"-0.136114637402197","-11"
"ASIANPAINT",22,17,0.876595744680851,0.943396226415094,"0.200585861221474","-11"
"AUROPHARMA",22,15,0.608510638297872,0.735849056603774,"0.0716426626804416","-11"
"DMART",10,6,0.787234042553192,0.622641509433962,"0.372618559589919","-11"
"AXISBANK",22,14,0.68936170212766,0.924528301886792,"0.0961980972590628","-11"
"BAJAJ-AUTO",18,10,0.69047619047619,0.358490566037736,"-0.173018195029262","-11"
"BAJFINANCE",22,18,0.961702127659574,1,"0.532842618846103","-11"
"BAJAJFINSV",22,19,0.923404255319149,0.849056603773585,"0.252346853112524","-11"
"BAJAJHLDNG",22,16,0.808510638297872,0.924528301886792,"0.0298661350218857","-11"
"BALKRISIND",22,13,0.612765957446809,0.264150943396226,"-0.227152903200044","-11"
"BANDHANBNK",6,3,0.439024390243902,0.439024390243902,"-1111","-11"
"BANKBARODA",22,11,0.438297872340426,0.264150943396226,"-0.26439626625387","-11"
"BANKINDIA",22,9,0.404255319148936,0.207547169811321,"-0.387286629333254","-11"
"BATAINDIA",22,13,0.65531914893617,1,"0.501787457992122","-11"
"BERGEPAINT",22,15,0.897872340425532,1,"0.228337654778825","-11"
"BEL",22,16,0.651063829787234,0.113207547169811,"-0.515293477794877","-11"
"BHARATFORG",22,10,0.548936170212766,0,"-0.29640385615491","-11"
"BHEL",22,10,0.276595744680851,0.0754716981132075,"-0.231739396074842","-11"
"BPCL",22,16,0.719148936170213,0.30188679245283,"-0.28676760574006","-11"
"BHARTIARTL",22,13,0.476595744680851,0.207547169811321,"-0.408030840237556","-11"
"INFRATEL",22,11,0.387234042553191,0.264150943396226,"-0.299905415329464","-11"
"BIOCON",22,12,0.804255319148936,0.735849056603774,"0.169237895910781","-11"
"BBTC",22,14,0.672340425531915,0.283018867924528,"-0.202253321538491","-11"
"BOSCHLTD",22,11,0.480851063829787,0.358490566037736,"-0.00913005666106583","-11"
"BRITANNIA",22,15,0.812765957446808,0.792452830188679,"0.315002932795577","-11"
"CADILAHC",22,12,0.502127659574468,0,"-0.194428339690533","-11"
"CANBK",22,10,0.472340425531915,0.339622641509434,"-0.237455007348323","-11"
"CASTROLIND",22,11,0.336170212765957,0.150943396226415,"-0.211212516297262","-11"
"CHOLAFIN",22,16,0.817021276595745,0.471698113207547,"-0.0441249182043691","-11"
"CIPLA",22,13,0.536170212765957,0.471698113207547,"-0.150449713818479","-11"
"COALINDIA",22,10,0.395744680851064,0.132075471698113,"-0.0971310503760971","-11"
"COLPAL",22,14,0.685106382978723,0.679245283018868,"0.218529002579989","-11"
"CONCOR",22,13,0.565957446808511,0.283018867924528,"0.00339227620045115","-11"
"COROMANDEL",22,14,0.574468085106383,0.339622641509434,"-0.19150658898158","-11"
"CROMPTON",13,7,0.676258992805755,0.377358490566038,"-0.157243170940654","-11"
"CUMMINSIND",22,14,0.463829787234043,0.320754716981132,"-0.0693828123679905","-11"
"DLF",22,10,0.446808510638298,0.207547169811321,"-0.308336600311495","-11"
"DABUR",22,15,0.753191489361702,0.792452830188679,"0.233954137535817","-11"
"DHFL",22,13,0.638297872340426,0.226415094339623,"-0.577896244172819","-11"
"DBL",12,6,0.650793650793651,0.169811320754717,"-0.574105182922725","-11"
"DISHTV",22,9,0.370212765957447,0,"-0.531823728218742","-11"
"DIVISLAB",22,15,0.774468085106383,1,"0.349028668302257","-11"
"DRREDDY",22,14,0.434042553191489,0.867924528301887,"0.0883264799018343","-11"
"EDELWEISS",22,12,0.659574468085106,0.207547169811321,"-0.377944688520547","-11"
"EICHERMOT",22,13,0.659574468085106,0.0188679245283019,"-0.225298683779531","-11"
"ENDURANCE",11,5,0.681034482758621,0.30188679245283,"-0.058495376880734","-11"
"ENGINERSIN",22,11,0.434042553191489,0.0188679245283019,"-0.362244897959184","-11"
"ESCORTS",22,14,0.676595744680851,0.339622641509434,"-0.0881384414222543","-11"
"EXIDEIND",22,11,0.578723404255319,0.490566037735849,"0.219340213879408","-11"
"FEDERALBNK",22,11,0.595744680851064,0.490566037735849,"-0.142134290951268","-11"
"FCONSUMER",22,12,0.638297872340426,0,"-0.401445463901326","-11"
"FRETAIL",12,8,0.642276422764228,0.169811320754717,"-0.0463613804984544","-11"
"GAIL",22,11,0.629787234042553,0.528301886792453,"-0.0365975608777846","-11"
"GMRINFRA",22,9,0.429787234042553,0.245283018867925,"-0.264573958052644","-11"
"GICRE",7,0,0,0,"-0.322654462242563","-11"
"GSKCONS",22,13,0.663829787234043,0.943396226415094,"0.180341680472659","-11"
"GLENMARK",22,12,0.502127659574468,0.679245283018868,"0.162640523240014","-11"
"GODREJAGRO",7,2,0.3125,0.169811320754717,"-0.14951373192389","-11"
"GODREJCP",22,13,0.825531914893617,0.39622641509434,"0.232927793155894","-11"
"GODREJIND",22,13,0.634042553191489,0.245283018867925,"-0.0926525330012453","-11"
"GRAPHITE",22,12,0.561702127659575,0.490566037735849,"0.0417183850520497","-11"
"GRASIM",22,16,0.608510638297872,0.113207547169811,"-0.278290125124539","-11"
"GRUH",22,16,0.804255319148936,0.452830188679245,"0.268131128061845","-11"
"GSPL",22,16,0.761702127659574,0.283018867924528,"-0.217400941932367","-11"
"HEG",22,12,0.540425531914894,0.566037735849057,"0.52426661443537","-11"
"HCLTECH",22,13,0.731914893617021,0.867924528301887,"0.0974734981567292","-11"
"HDFCAMC",4,3,0.545454545454545,0.545454545454545,"-1111","-11"
"HDFCBANK",22,19,0.923404255319149,0.905660377358491,"0.14408193637099","-11"
"HDFCLIFE",7,4,0.433333333333333,0.358490566037736,"-0.00641601447066877","-11"
"HAVELLS",22,17,0.902127659574468,1,"0.247181864972166","-11"
"HEROMOTOCO",22,14,0.459574468085106,0,"-0.172001301950834","-11"
"HEXAWARE",22,14,0.553191489361702,0.358490566037736,"-0.0256110058646745","-11"
"HINDALCO",22,13,0.463829787234043,0.132075471698113,"-0.165775393673806","-11"
"HINDPETRO",22,16,0.71063829787234,0.264150943396226,"-0.387915407854985","-11"
"HINDUNILVR",22,16,0.808510638297872,1,"0.353402769802901","-11"
"HINDZINC",22,11,0.608510638297872,0.0754716981132075,"-0.0980741764787503","-11"
"HUDCO",9,2,0.197674418604651,0,"-0.481280199953616","-11"
"HDFC",22,15,0.787234042553192,0.849056603773585,"0.169027454194506","-11"
"ICICIBANK",22,14,0.642553191489362,0.867924528301887,"0.160651008468618","-11"
"ICICIGI",8,6,0.865671641791045,0.905660377358491,"0.0866750622250157","-11"
"ICICIPRULI",12,6,0.495798319327731,0.226415094339623,"-0.151190138148788","-11"
"IDBI",22,10,0.387234042553191,0.0566037735849057,"0.0149130410907387","-11"
"IDFCFIRSTB",3,1,0.387234042553191,0.0566037735849057,"-1111","-11"
"ITC",22,12,0.540425531914894,0.641509433962264,"0.0737705180527877","-11"
"IBULHSGFIN",22,12,0.693617021276596,0.132075471698113,"-0.299060083587865","-11"
"IBVENTURES",22,11,0.612765957446809,0.358490566037736,"0.457096387525716","-11"
"INDIANB",22,11,0.519148936170213,0.39622641509434,"-0.354235697004943","-11"
"INDHOTEL",22,15,0.668085106382979,0.69811320754717,"0.246413476793249","-11"
"IOC",22,13,0.663829787234043,0.264150943396226,"-0.297089376676311","-11"
"IGL",22,17,0.808510638297872,0.471698113207547,"-0.213392200147167","-11"
"INDUSINDBK",22,15,0.812765957446808,0.358490566037736,"-0.0151183467455986","-11"
"NAUKRI",22,16,0.736170212765957,0.962264150943396,"0.043382237189933","-11"
"INFY",22,11,0.65531914893617,1,"0.275119696961206","-11"
"INDIGO",15,9,0.545454545454545,0.509433962264151,"-0.0315460939318371","-11"
"JSWENERGY",22,12,0.387234042553191,0.226415094339623,"-0.246018673936782","-11"
"JSWSTEEL",22,14,0.663829787234043,0.433962264150943,"0.154063257519786","-11"
"JINDALSTEL",22,13,0.408510638297872,0.0943396226415094,"-0.200290997094437","-11"
"JUBLFOOD",22,11,0.587234042553191,0.69811320754717,"0.409433768899252","-11"
"JUBILANT",22,13,0.659574468085106,0.0943396226415094,"-0.0861625540996673","-11"
"KOTAKBANK",22,18,0.842553191489362,0.811320754716981,"0.256562813061899","-11"
"L&TFH",22,11,0.523404255319149,0.150943396226415,"-0.117408841552649","-11"
"LTTS",12,5,0.741666666666667,0.962264150943396,"0.591457500564924","-11"
"LICHSGFIN",22,14,0.65531914893617,0.339622641509434,"-0.136114545459829","-11"
"LTI",12,9,0.930232558139535,0.830188679245283,"0.511436978108532","-11"
"LT",22,13,0.731914893617021,0.735849056603774,"0.140279293149588","-11"
"LUPIN",22,10,0.28936170212766,0.320754716981132,"-0.0440985134446646","-11"
"MRF",22,14,0.663829787234043,0.226415094339623,"-0.0748339559588172","-11"
"MGL",12,7,0.606060606060606,0.39622641509434,"-0.190367499818265","-11"
"M&MFIN",22,13,0.497872340425532,0.283018867924528,"0.00626722312469365","-11"
"M&M",22,11,0.557446808510638,0.30188679245283,"0.0795003694245499","-11"
"MANAPPURAM",22,13,0.727659574468085,0.433962264150943,"-0.233305872218321","-11"
"MRPL",22,13,0.561702127659575,0,"-0.406213143433533","-11"
"MARICO",22,17,0.85531914893617,0.811320754716981,"0.164327970152991","-11"
"MARUTI",22,14,0.74468085106383,0.226415094339623,"-0.226525378674518","-11"
"MFSL",22,12,0.536170212765957,0.0377358490566038,"-0.252993871595221","-11"
"MINDTREE",22,14,0.582978723404255,0.641509433962264,"0.424452077464409","-11"
"MOTHERSUMI",22,14,0.540425531914894,0,"-0.339817100736215","-11"
"MPHASIS",22,14,0.736170212765957,0.358490566037736,"0.379546240433458","-11"
